MsgID.LOCAL_VELOCITY,3503.5710000,-0.0000150,0.0000615,0.0000116
MsgID.GLOBAL_POSITION,0.0000000,-122.3982970,37.7924683,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3503.8210000,-1.3504500,-74.9991226,-0.0824991
MsgID.LOCAL_VELOCITY,3503.8210000,-0.0000130,0.0000640,0.0000163
MsgID.GLOBAL_POSITION,0.0000000,-122.3982972,37.7924689,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3504.0710000,-1.2801285,-75.0201416,-0.0824991
MsgID.LOCAL_VELOCITY,3504.0710000,-0.0000123,0.0000647,0.0000163
MsgID.GLOBAL_POSITION,0.0000000,-122.3982983,37.7924687,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3504.3220000,-1.3023524,-75.1175919,-0.0826785
MsgID.LOCAL_VELOCITY,3504.3220000,-0.0000153,0.0000618,0.0000180
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982983,37.7924678,0.0850000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3504.5720000,-1.4002011,-75.1173706,-0.0850477
MsgID.LOCAL_VELOCITY,3504.5720000,-0.0000564,0.0000520,0.0000168
MsgID.GLOBAL_POSITION,0.0000000,-122.3982979,37.7924679,0.0940000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3504.8230000,-1.3857980,-75.0808334,-0.0941764
MsgID.LOCAL_VELOCITY,3504.8230000,-0.0000390,0.0000546,0.0000162
MsgID.LOCAL_POSITION,3505.0730000,-1.2308590,-75.1952744,-0.1098467
MsgID.LOCAL_VELOCITY,3505.0730000,-0.0000558,0.0000460,0.0000138
MsgID.GLOBAL_POSITION,0.0000000,-122.3982992,37.7924693,0.1090000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3505.3230000,-1.1345698,-75.1812515,-0.1360625
MsgID.LOCAL_VELOCITY,3505.3230000,-0.0000182,0.0000677,0.0000179
MsgID.GLOBAL_POSITION,0.0000000,-122.3982990,37.7924702,0.1360000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982981,37.7924682,0.1630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3505.5730000,-1.3622293,-75.0955887,-0.1634132
MsgID.LOCAL_VELOCITY,3505.5730000,-0.0000298,0.0000550,0.0000150
MsgID.GLOBAL_POSITION,0.0000000,-122.3983001,37.7924678,0.1940000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3505.8230000,-1.3998927,-75.2765808,-0.1945693
MsgID.LOCAL_VELOCITY,3505.8230000,-0.0000160,0.0000608,0.0000137
MsgID.GLOBAL_POSITION,0.0000000,-122.3982999,37.7924695,0.2170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3506.0730000,-1.2167503,-75.2596664,-0.2170672
MsgID.LOCAL_VELOCITY,3506.0730000,-0.0000253,0.0000589,0.0000155
MsgID.GLOBAL_POSITION,0.0000000,-122.3982980,37.7924690,0.2320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3506.3240000,-1.2674192,-75.0884399,-0.2325273
MsgID.LOCAL_VELOCITY,3506.3240000,-0.0000428,0.0000527,0.0000188
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982982,37.7924677,0.2340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3506.5750000,-1.4154170,-75.1096649,-0.2345718
MsgID.LOCAL_VELOCITY,3506.5750000,-0.0000137,0.0000633,0.0000168
MsgID.GLOBAL_POSITION,0.0000000,-122.3982983,37.7924684,0.2230000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3506.8250000,-1.3385417,-75.1177216,-0.2231007
MsgID.LOCAL_VELOCITY,3506.8250000,-0.0000521,0.0000487,0.0000138
MsgID.GLOBAL_POSITION,0.0000000,-122.3982979,37.7924693,0.2020000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3507.0750000,-1.2306864,-75.0755692,-0.2023457
MsgID.LOCAL_VELOCITY,3507.0750000,-0.0000502,0.0000510,0.0000168
MsgID.GLOBAL_POSITION,0.0000000,-122.3982967,37.7924681,0.1690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3507.3250000,-1.3683406,-74.9695969,-0.1698617
MsgID.LOCAL_VELOCITY,3507.3250000,-0.0000304,0.0000544,0.0000192
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982985,37.7924696,0.1370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3507.5760000,-1.1981015,-75.1359100,-0.1379455
MsgID.LOCAL_VELOCITY,3507.5760000,-0.0000141,0.0000628,0.0000150
MsgID.GLOBAL_POSITION,0.0000000,-122.3982990,37.7924700,0.1020000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3507.8260000,-1.1592815,-75.1764984,-0.1024882
MsgID.LOCAL_VELOCITY,3507.8260000,-0.0000406,0.0000531,0.0000125
MsgID.GLOBAL_POSITION,0.0000000,-122.3982980,37.7924680,0.0760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3508.0760000,-1.3854136,-75.0902176,-0.0763630
MsgID.LOCAL_VELOCITY,3508.0760000,0.0000061,0.0000625,0.0000163
MsgID.GLOBAL_POSITION,0.0000000,-122.3982996,37.7924678,0.0550000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3508.3260000,-1.3971685,-75.2322922,-0.0555847
MsgID.LOCAL_VELOCITY,3508.3260000,-0.0000521,0.0000484,0.0000192
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3983003,37.7924686,0.0460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3508.5760000,-1.3079679,-75.2905655,-0.0463654
MsgID.LOCAL_VELOCITY,3508.5760000,0.0000045,0.0000719,0.0000126
MsgID.GLOBAL_POSITION,0.0000000,-122.3982987,37.7924692,0.0450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
